,DEXJPUS,DEXUSEU,DEXCHUS,DEXUSUK,DTWEXBGS
1999-01-01,,,,,
1999-01-04,112.15,1.1812,8.2793,1.6581,
1999-01-05,111.15,1.176,8.2795,1.6566,
1999-01-06,112.78,1.1636,8.2795,1.6547,
1999-01-07,111.69,1.1672,8.2798,1.6495,
1999-01-08,111.52,1.1554,8.2796,1.6405,
1999-01-11,108.83,1.1534,8.2797,1.6375,
1999-01-12,112.07,1.1548,8.2795,1.6308,
1999-01-13,113.46,1.1698,8.2794,1.6493,
1999-01-14,113.25,1.1689,8.279,1.653,
1999-01-15,114.19,1.1591,8.279,1.65,
1999-01-18,,,,,
1999-01-19,113.76,1.161,8.2787,1.655,
1999-01-20,113.45,1.1575,8.2791,1.6467,
1999-01-21,113.75,1.1577,8.2789,1.6516,
1999-01-22,114.65,1.1582,8.2787,1.656,
1999-01-25,113.8,1.1566,8.2784,1.6563,
1999-01-26,114.03,1.1577,8.278,1.6585,
1999-01-27,115.62,1.1481,8.2778,1.6485,
1999-01-28,116.36,1.1395,8.2778,1.647,
1999-01-29,116.0,1.1371,8.2778,1.6457,
1999-02-01,115.09,1.1303,8.2775,1.641,
1999-02-02,112.12,1.1328,8.2775,1.643,
1999-02-03,112.46,1.1339,8.2776,1.6375,
1999-02-04,112.03,1.1306,8.2776,1.6395,
1999-02-05,113.14,1.1283,8.2776,1.637,
1999-02-08,114.38,1.1296,8.2776,1.638,
1999-02-09,114.42,1.13,8.2776,1.6355,
1999-02-10,114.45,1.1331,8.2776,1.629,
1999-02-11,114.7,1.1303,8.2776,1.6244,
1999-02-12,114.32,1.1282,8.2776,1.6311,
1999-02-15,,,,,
1999-02-16,118.08,1.1189,8.2787,1.6317,
1999-02-17,119.03,1.123,8.2787,1.6338,
1999-02-18,119.82,1.1223,8.2787,1.6338,
1999-02-19,121.0,1.1075,8.2787,1.6255,
1999-02-22,120.35,1.1037,8.2787,1.6238,
1999-02-23,121.45,1.0993,8.2787,1.6138,
1999-02-24,121.9,1.0972,8.2787,1.598,
1999-02-25,119.26,1.1068,8.2789,1.606,
1999-02-26,118.7,1.0995,8.279,1.6027,
1999-03-01,119.79,1.0891,8.2792,1.6058,
1999-03-02,120.47,1.0931,8.2789,1.6135,
1999-03-03,121.68,1.0888,8.2789,1.6134,
1999-03-04,123.5,1.0824,8.2783,1.6065,
1999-03-05,122.57,1.0843,8.2784,1.6073,
1999-03-08,121.73,1.0899,8.2786,1.6085,
1999-03-09,121.4,1.0873,8.2791,1.6148,
1999-03-10,119.84,1.0961,8.2788,1.6267,
1999-03-11,119.57,1.0932,8.2789,1.627,
1999-03-12,118.99,1.0936,8.2789,1.6335,
1999-03-15,117.7,1.093,8.2789,1.6223,
1999-03-16,117.74,1.0915,8.2789,1.624,
1999-03-17,118.15,1.1015,8.2788,1.6302,
1999-03-18,117.53,1.099,8.2788,1.629,
1999-03-19,117.05,1.0923,8.2793,1.6303,
1999-03-22,118.14,1.0915,8.2792,1.628,
1999-03-23,118.02,1.0918,8.2795,1.6372,
1999-03-24,117.35,1.0921,8.2796,1.641,
1999-03-25,118.05,1.0871,8.2798,1.6314,
1999-03-26,120.3,1.0743,8.28,1.6205,
1999-03-29,119.78,1.0716,8.2797,1.614,
1999-03-30,120.1,1.0732,8.28,1.6115,
1999-03-31,118.43,1.0808,8.28,1.614,
1999-04-01,120.19,1.0782,8.2796,1.6063,
