,DEXJPUS,DEXUSAL,DEXUSEU,DEXCHUS,DEXUSUK,DEXCAUS,DEXMXUS,DEXSZUS,DTWEXBGS
1999-01-01,,,,,,,,,
1999-01-04,112.15,0.6182,1.1812,8.2793,1.6581,1.5268,9.831,1.3666,
1999-01-05,111.15,0.6217,1.176,8.2795,1.6566,1.5213,9.796,1.3694,
1999-01-06,112.78,0.6285,1.1636,8.2795,1.6547,1.511,9.78,1.3852,
1999-01-07,111.69,0.634,1.1672,8.2798,1.6495,1.5117,9.83,1.3863,
1999-01-08,111.52,0.6326,1.1554,8.2796,1.6405,1.5145,9.8105,1.397,
1999-01-11,108.83,0.6395,1.1534,8.2797,1.6375,1.5072,9.956,1.3963,
1999-01-12,112.07,0.6401,1.1548,8.2795,1.6308,1.5095,10.1,1.389,
1999-01-13,113.46,0.631,1.1698,8.2794,1.6493,1.53,10.6,1.3585,
1999-01-14,113.25,0.6315,1.1689,8.279,1.653,1.5285,10.53,1.3618,
1999-01-15,114.19,0.634,1.1591,8.279,1.65,1.529,10.29,1.3785,
1999-01-18,,,,,,,,,
1999-01-19,113.76,0.6385,1.161,8.2787,1.655,1.5302,10.27,1.3752,
1999-01-20,113.45,0.6398,1.1575,8.2791,1.6467,1.5226,10.195,1.3902,
1999-01-21,113.75,0.6396,1.1577,8.2789,1.6516,1.5155,10.29,1.3855,
1999-01-22,114.65,0.6348,1.1582,8.2787,1.656,1.519,10.2025,1.3829,
1999-01-25,113.8,0.6309,1.1566,8.2784,1.6563,1.5153,10.23,1.3823,
1999-01-26,114.03,0.6305,1.1577,8.278,1.6585,1.52,10.22,1.387,
1999-01-27,115.62,0.6273,1.1481,8.2778,1.6485,1.5215,10.17,1.4012,
1999-01-28,116.36,0.6258,1.1395,8.2778,1.647,1.5263,10.1775,1.4165,
1999-01-29,116.0,0.6297,1.1371,8.2778,1.6457,1.5095,10.152,1.4168,
1999-02-01,115.09,0.6336,1.1303,8.2775,1.641,1.5085,10.12,1.4232,
1999-02-02,112.12,0.6401,1.1328,8.2775,1.643,1.5124,10.095,1.4111,
1999-02-03,112.46,0.6415,1.1339,8.2776,1.6375,1.5135,10.125,1.4135,
1999-02-04,112.03,0.649,1.1306,8.2776,1.6395,1.493,10.115,1.417,
1999-02-05,113.14,0.6517,1.1283,8.2776,1.637,1.488,10.09,1.4173,
1999-02-08,114.38,0.652,1.1296,8.2776,1.638,1.4875,10.0925,1.4175,
1999-02-09,114.42,0.6468,1.13,8.2776,1.6355,1.4935,10.08,1.4183,
1999-02-10,114.45,0.6453,1.1331,8.2776,1.629,1.4943,10.063,1.4083,
1999-02-11,114.7,0.6495,1.1303,8.2776,1.6244,1.4889,10.002,1.4154,
1999-02-12,114.32,0.6463,1.1282,8.2776,1.6311,1.4925,9.95,1.4157,
1999-02-15,,,,,,,,,
1999-02-16,118.08,0.638,1.1189,8.2787,1.6317,1.5,9.9225,1.429,
1999-02-17,119.03,0.6336,1.123,8.2787,1.6338,1.4995,9.884,1.4247,
