,DEXJPUS,DEXUSAL,DEXUSEU,DEXCHUS
1999-01-01,,,,
1999-01-04,112.15,0.6182,1.1812,8.2793
1999-01-05,111.15,0.6217,1.176,8.2795
1999-01-06,112.78,0.6285,1.1636,8.2795
1999-01-07,111.69,0.634,1.1672,8.2798
1999-01-08,111.52,0.6326,1.1554,8.2796
1999-01-11,108.83,0.6395,1.1534,8.2797
1999-01-12,112.07,0.6401,1.1548,8.2795
1999-01-13,113.46,0.631,1.1698,8.2794
1999-01-14,113.25,0.6315,1.1689,8.279
1999-01-15,114.19,0.634,1.1591,8.279
1999-01-18,,,,
1999-01-19,113.76,0.6385,1.161,8.2787
1999-01-20,113.45,0.6398,1.1575,8.2791
1999-01-21,113.75,0.6396,1.1577,8.2789
1999-01-22,114.65,0.6348,1.1582,8.2787
1999-01-25,113.8,0.6309,1.1566,8.2784
1999-01-26,114.03,0.6305,1.1577,8.278
1999-01-27,115.62,0.6273,1.1481,8.2778
1999-01-28,116.36,0.6258,1.1395,8.2778
1999-01-29,116.0,0.6297,1.1371,8.2778
1999-02-01,115.09,0.6336,1.1303,8.2775
1999-02-02,112.12,0.6401,1.1328,8.2775
1999-02-03,112.46,0.6415,1.1339,8.2776
1999-02-04,112.03,0.649,1.1306,8.2776
1999-02-05,113.14,0.6517,1.1283,8.2776
1999-02-08,114.38,0.652,1.1296,8.2776
1999-02-09,114.42,0.6468,1.13,8.2776
1999-02-10,114.45,0.6453,1.1331,8.2776
1999-02-11,114.7,0.6495,1.1303,8.2776
1999-02-12,114.32,0.6463,1.1282,8.2776
1999-02-15,,,,
1999-02-16,118.08,0.638,1.1189,8.2787
1999-02-17,119.03,0.6336,1.123,8.2787
1999-02-18,119.82,0.635,1.1223,8.2787
1999-02-19,121.0,0.6375,1.1075,8.2787
1999-02-22,120.35,0.64,1.1037,8.2787
1999-02-23,121.45,0.6392,1.0993,8.2787
1999-02-24,121.9,0.6315,1.0972,8.2787
1999-02-25,119.26,0.6272,1.1068,8.2789
1999-02-26,118.7,0.6205,1.0995,8.279
1999-03-01,119.79,0.6179,1.0891,8.2792
1999-03-02,120.47,0.6205,1.0931,8.2789
1999-03-03,121.68,0.623,1.0888,8.2789
1999-03-04,123.5,0.6242,1.0824,8.2783
1999-03-05,122.57,0.6285,1.0843,8.2784
1999-03-08,121.73,0.6305,1.0899,8.2786
1999-03-09,121.4,0.6357,1.0873,8.2791
1999-03-10,119.84,0.635,1.0961,8.2788
1999-03-11,119.57,0.6365,1.0932,8.2789
1999-03-12,118.99,0.636,1.0936,8.2789
1999-03-15,117.7,0.6315,1.093,8.2789
1999-03-16,117.74,0.626,1.0915,8.2789
1999-03-17,118.15,0.6273,1.1015,8.2788
1999-03-18,117.53,0.6301,1.099,8.2788
1999-03-19,117.05,0.6304,1.0923,8.2793
1999-03-22,118.14,0.6336,1.0915,8.2792
1999-03-23,118.02,0.6382,1.0918,8.2795
1999-03-24,117.35,0.6394,1.0921,8.2796
1999-03-25,118.05,0.6363,1.0871,8.2798
1999-03-26,120.3,0.6352,1.0743,8.28
1999-03-29,119.78,0.6323,1.0716,8.2797
1999-03-30,120.1,0.627,1.0732,8.28
1999-03-31,118.43,0.634,1.0808,8.28
1999-04-01,120.19,0.6354,1.0782,8.2796
1999-04-02,120.6,0.6345,1.0782,8.2794
1999-04-05,122.0,0.6315,1.0706,8.2795
1999-04-06,120.74,0.628,1.0838,8.2797
1999-04-07,121.34,0.6272,1.0784,8.2797
1999-04-08,120.85,0.6244,1.0835,8.2799
1999-04-09,121.09,0.6296,1.0786,8.2797
1999-04-12,120.14,0.6343,1.0842,8.2797
1999-04-13,120.04,0.6365,1.078,8.2797
1999-04-14,118.89,0.6378,1.0779,8.2794
1999-04-15,119.04,0.6359,1.0717,8.2789
1999-04-16,117.86,0.6466,1.0688,8.2787
1999-04-19,117.99,0.6518,1.0608,8.2787
1999-04-20,118.18,0.6475,1.063,8.2783
1999-04-21,119.76,0.6469,1.0612,8.2783
1999-04-22,119.84,0.6507,1.0598,8.2783
1999-04-23,119.26,0.6516,1.0634,8.2784
1999-04-26,119.13,0.6488,1.059,8.2793
1999-04-27,120.23,0.6505,1.0649,8.2794
1999-04-28,119.13,0.6539,1.0616,8.2791
1999-04-29,119.26,0.6583,1.0591,8.2794
1999-04-30,119.43,0.662,1.0564,8.279
1999-05-03,120.14,0.664,1.0571,8.279
1999-05-04,120.94,0.6625,1.0593,8.2789
1999-05-05,120.91,0.6614,1.0724,8.2789
1999-05-06,120.77,0.669,1.0779,8.2786
1999-05-07,120.78,0.6709,1.0781,8.2783
1999-05-10,120.68,0.6688,1.0787,8.2787
1999-05-11,120.96,0.6712,1.072,8.2782
1999-05-12,120.86,0.667,1.0666,8.2783
1999-05-13,121.67,0.6679,1.0626,8.2778
1999-05-14,122.64,0.6648,1.065,8.2784
1999-05-17,123.27,0.6662,1.0672,8.2785
1999-05-18,123.24,0.6705,1.0672,8.279
1999-05-19,124.45,0.6633,1.0641,8.2783
1999-05-20,124.15,0.661,1.063,8.278
1999-05-21,123.9,0.6595,1.0577,8.278
1999-05-24,123.57,0.6595,1.0593,8.2785
1999-05-25,122.88,0.658,1.0587,8.2789
1999-05-26,122.03,0.6492,1.0471,8.279
1999-05-27,121.27,0.6485,1.0439,8.2788
1999-05-28,120.88,0.6528,1.0422,8.2786
1999-05-31,,,,
1999-06-01,120.75,0.6415,1.0449,8.2781
1999-06-02,121.14,0.6445,1.0357,8.2787
1999-06-03,121.5,0.6477,1.0355,8.2784
1999-06-04,121.99,0.6555,1.0327,8.2781
1999-06-07,121.31,0.6583,1.0296,8.2781
1999-06-08,119.88,0.6586,1.0438,8.2779
1999-06-09,119.2,0.6585,1.045,8.2778
1999-06-10,118.85,0.6625,1.0477,8.2777
1999-06-11,118.14,0.6643,1.0516,8.2777
1999-06-14,120.4,0.663,1.0416,8.2776
1999-06-15,120.63,0.658,1.042,8.2781
1999-06-16,120.03,0.6565,1.0298,8.2776
1999-06-17,119.47,0.6575,1.0329,8.2775
1999-06-18,120.48,0.6533,1.0368,8.2774
1999-06-21,122.28,0.6508,1.0323,8.2778
1999-06-22,121.68,0.6535,1.0323,8.2781
